Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
1915342;3;01/07/2012 04:00;Strada Urbana;VIA DEI MONTI TIBURTINI;all'intersezione con;VIA FERONIA;VIA FERONIA;;;Veicolo in marcia contro ostacolo fisso;Intersezione stradale segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;1;0;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Deceduto durante prime cure;-1;NON DECEDUTO;Non utilizzato;Inesistente
1915352;20;01/07/2012 03:40;Strada Urbana;VIALE DI TOR DI QUINTO;in prossimità;;del civico n. ;118;;Veicolo in marcia contro ostacolo fisso;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1915355;10;01/07/2012 07:30;Strada Urbana;VIALE MARCO FULVIO NOBILIORE;all'intersezione con;VIA GIUSEPPE SALVIOLI;VIA GIUSEPPE SALVIOLI;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1915355;10;01/07/2012 07:30;Strada Urbana;VIALE MARCO FULVIO NOBILIORE;all'intersezione con;VIA GIUSEPPE SALVIOLI;VIA GIUSEPPE SALVIOLI;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1915356;10;01/07/2012 11:10;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n. ;853;;Tamponamento;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Ore Diurne;0;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1915356;10;01/07/2012 11:10;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n. ;853;;Tamponamento;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Ore Diurne;0;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1915365;1;01/07/2012 03:50;Strada Urbana;CORSO VITTORIO EMANUELE II;all'intersezione con;VIA DEL CONSOLATO;VIA DEL CONSOLATO;;;Veicolo in marcia contro ostacolo fisso;Intersezione stradale segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;2;0;0;0;;;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1915365;1;01/07/2012 03:50;Strada Urbana;CORSO VITTORIO EMANUELE II;all'intersezione con;VIA DEL CONSOLATO;VIA DEL CONSOLATO;;;Veicolo in marcia contro ostacolo fisso;Intersezione stradale segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;2;0;0;0;;;-1;1;Motociclo a solo;In marcia / fermata / arresto;Passeggero;M;Rifiuta cure immediate;0;NON DECEDUTO;Utilizzato;Inesploso
1915367;10;01/07/2012 18:00;Strada Urbana;PIAZZA S. GIOVANNI BOSCO;all'intersezione con;VIA PIETRO BONFANTE;VIA PIETRO BONFANTE;;;Tamponamento;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;2;;;-1;1;Autovettura pubblica;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1915367;10;01/07/2012 18:00;Strada Urbana;PIAZZA S. GIOVANNI BOSCO;all'intersezione con;VIA PIETRO BONFANTE;VIA PIETRO BONFANTE;;;Tamponamento;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;2;;;-1;1;Autovettura pubblica;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1915367;10;01/07/2012 18:00;Strada Urbana;PIAZZA S. GIOVANNI BOSCO;all'intersezione con;VIA PIETRO BONFANTE;VIA PIETRO BONFANTE;;;Tamponamento;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;2;;;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;Inesistente
1915369;10;01/07/2012 18:50;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n. ;573;;Infortunio per sola frenata improvvisa;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;;;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1915370;10;01/07/2012 19:50;Strada Urbana;VIA APPIA PIGNATELLI;all'intersezione con;VIA MENOFILO;VIA MENOFILO;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;1;;;-1;1;Motociclo con passeggero;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1915370;10;01/07/2012 19:50;Strada Urbana;VIA APPIA PIGNATELLI;all'intersezione con;VIA MENOFILO;VIA MENOFILO;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;1;;;-1;1;Motociclo con passeggero;In marcia / fermata / arresto;Passeggero;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1915370;10;01/07/2012 19:50;Strada Urbana;VIA APPIA PIGNATELLI;all'intersezione con;VIA MENOFILO;VIA MENOFILO;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;1;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1915372;8;22/07/2012 20:40;Strada Urbana;VIALE DELLA SORBONA;da specificare;;;;intersezione rotatoria PTV alt. palo ACEA 17;Scontro frontale/laterale DX fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;6;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
1915372;8;22/07/2012 20:40;Strada Urbana;VIALE DELLA SORBONA;da specificare;;;;intersezione rotatoria PTV alt. palo ACEA 17;Scontro frontale/laterale DX fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;6;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
1915372;8;22/07/2012 20:40;Strada Urbana;VIALE DELLA SORBONA;da specificare;;;;intersezione rotatoria PTV alt. palo ACEA 17;Scontro frontale/laterale DX fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;6;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
1915372;8;22/07/2012 20:40;Strada Urbana;VIALE DELLA SORBONA;da specificare;;;;intersezione rotatoria PTV alt. palo ACEA 17;Scontro frontale/laterale DX fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;6;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
