Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
1947674;16;04/09/2013 06:40;Strada Urbana;VIA BERNARDINO RAMAZZINI;in corrispondenza;;del civico n. ;133;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesistente
1947674;16;04/09/2013 06:40;Strada Urbana;VIA BERNARDINO RAMAZZINI;in corrispondenza;;del civico n. ;133;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;;;-1;2;Ciclomotore;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1949418;7;12/09/2013 22:30;Strada Urbana;VIA DEI PIOPPI;in corrispondenza;;del civico n. ;46/A;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Sufficiente;0;0;0;3;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
1949418;7;12/09/2013 22:30;Strada Urbana;VIA DEI PIOPPI;in corrispondenza;;del civico n. ;46/A;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Sufficiente;0;0;0;3;;;-1;3;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
1949418;7;12/09/2013 22:30;Strada Urbana;VIA DEI PIOPPI;in corrispondenza;;del civico n. ;46/A;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Sufficiente;0;0;0;3;;;-1;3;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
1951654;4;02/09/2013 12:30;Strada Urbana;PIAZZA SERGIO CORAZZINI;all'intersezione con;VIA GASPARA STAMPA;VIA GASPARA STAMPA;;;Investimento di pedone;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;4;;;-1;;;;Pedone;F;Rimandato;0;NON DECEDUTO;;
1951654;4;02/09/2013 12:30;Strada Urbana;PIAZZA SERGIO CORAZZINI;all'intersezione con;VIA GASPARA STAMPA;VIA GASPARA STAMPA;;;Investimento di pedone;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;4;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1951654;4;02/09/2013 12:30;Strada Urbana;PIAZZA SERGIO CORAZZINI;all'intersezione con;VIA GASPARA STAMPA;VIA GASPARA STAMPA;;;Investimento di pedone;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;4;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;;Illeso;0;;Non accertato;
1951654;4;02/09/2013 12:30;Strada Urbana;PIAZZA SERGIO CORAZZINI;all'intersezione con;VIA GASPARA STAMPA;VIA GASPARA STAMPA;;;Investimento di pedone;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;4;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1951654;4;02/09/2013 12:30;Strada Urbana;PIAZZA SERGIO CORAZZINI;all'intersezione con;VIA GASPARA STAMPA;VIA GASPARA STAMPA;;;Investimento di pedone;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;4;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
