Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
2513539;8;08/10/2015 10:40;Strada Urbana;VIA DI PASSOLOMBARDO;all'intersezione con;VIA CRACOVIA;VIA CRACOVIA;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;12.62698;41.85101;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso;
2513539;8;08/10/2015 10:40;Strada Urbana;VIA DI PASSOLOMBARDO;all'intersezione con;VIA CRACOVIA;VIA CRACOVIA;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;12.62698;41.85101;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso;
2513539;8;08/10/2015 10:40;Strada Urbana;VIA DI PASSOLOMBARDO;all'intersezione con;VIA CRACOVIA;VIA CRACOVIA;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;12.62698;41.85101;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso;
2518014;10;01/10/2015 07:05;Strada Urbana;VIA TUSCOLANA;in prossimità;;del palo luce n.;782;;Tamponamento Multiplo;Rettilineo;Due carreggiate;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;2;12.57887;41.84638;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso;
2518014;10;01/10/2015 07:05;Strada Urbana;VIA TUSCOLANA;in prossimità;;del palo luce n.;782;;Tamponamento Multiplo;Rettilineo;Due carreggiate;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;2;12.57887;41.84638;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;Inesploso;
2518014;10;01/10/2015 07:05;Strada Urbana;VIA TUSCOLANA;in prossimità;;del palo luce n.;782;;Tamponamento Multiplo;Rettilineo;Due carreggiate;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;2;12.57887;41.84638;-1;3;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso;
2518017;15;01/10/2015 06:25;Strada Urbana;VIA ANTONIO PACINOTTI;da specificare;;;;altezza Via Nobel;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Normale;Buona;Sufficiente;1;0;0;1;12.46876;41.87125;-1;1;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesploso;
2518017;15;01/10/2015 06:25;Strada Urbana;VIA ANTONIO PACINOTTI;da specificare;;;;altezza Via Nobel;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Normale;Buona;Sufficiente;1;0;0;1;12.46876;41.87125;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;;;
2518158;8;01/10/2015 03:00;Strada Urbana;VIA POLENSE;in prossimità;;del civico n.;12/A;;Scontro frontale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Bagnato (pioggia);Strada pavimentata dissestata;Assente;Pioggia in atto;Scarso;Insufficiente;Inesistente;1;0;0;1;12.69951;41.8914;-1;1;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
2518158;8;01/10/2015 03:00;Strada Urbana;VIA POLENSE;in prossimità;;del civico n.;12/A;;Scontro frontale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Bagnato (pioggia);Strada pavimentata dissestata;Assente;Pioggia in atto;Scarso;Insufficiente;Inesistente;1;0;0;1;12.69951;41.8914;-1;2;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non utilizzato;Inesploso;
2518234;10;01/10/2015 08:30;Strada Urbana;VIA GIUSEPPE DEVERS;all'intersezione con;VIA FEDERICO FARUFFINI;VIA FEDERICO FARUFFINI;;;Scontro frontale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Bagnato (pioggia);Strada pavimentata dissestata;Assente;Pioggia in atto;Scarso;Buona;Ore Diurne;2;0;0;0;12.60405;41.84149;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso;
